SCPN	annotation_reference	chemical_id	smiles	type	chemical_document_count	annotation_document_count	title_count	abstract_count	claims_count	description_count	chemical_corpus_count	annotation_corpus_count	molecular_weight	med_chem_alert	log_p	donor_count	acceptor_count	ring_count	rotatable_bond_count	radical	fragment	connected	singleton	simple	lipinski	lead_likeness	bio_availability
US-20100305056-A1	pyridine	14400966	C1=CN=C=C=C1	TEXT	8	8	0	0	4	4	1	457260	77.08399963378906	1	0.7793999910354614	0	1	1	0	0	0	1	0	0	1	1	1
US-20100305056-A1	pyridine	15128234	C1=NC=C=C=C1	TEXT	8	8	0	0	4	4	1	457260	77.08399963378906	1	0.4823780059814453	0	1	1	0	0	0	1	0	0	1	1	1
US-20100305056-A1	pyridine n-oxide	1316	[O-][N+]1=CC=CC=C1	TEXT	8	6	0	0	3	3	44430	2360	95.09929656982422	0	-0.504584014415741	0	1	1	0	0	0	1	0	0	1	1	1
US-20100305056-A1	pyridine n-oxide	1317	CN(C)C(=O)OC1=CC=C[N+](C)=C1	TEXT	6	6	0	0	3	3	13802	2360	181.21200561523438	0	-3.4667301177978516	0	1	1	2	0	0	1	0	0	1	1	1
US-20100305056-A1	methyl sulfone	19382	C[S](C)(=O)=O	TEXT	5	2	0	0	1	1	39111	812	94.13300323486328	0	-1.3009699583053589	0	2	0	0	0	0	1	0	0	1	1	1
US-20100305056-A1	pyridine-n-oxide	1316	[O-][N+]1=CC=CC=C1	TEXT	8	2	0	0	1	1	44430	1579	95.09929656982422	0	-0.504584014415741	0	1	1	0	0	0	1	0	0	1	1	1
US-20100305056-A1	dichloroethyl	9426	C[C](Cl)Cl	TEXT	4	4	0	0	2	2	7435	1337	97.95099639892578	0	1.181380033493042	0	0	0	0	1	0	1	0	0	1	1	1
US-20100305056-A1	dichloroethyl	9427	[CH2]C(Cl)Cl	TEXT	4	4	0	0	2	2	9388	1337	97.95099639892578	1	1.6993000507354736	0	0	0	0	1	0	1	0	0	1	1	1
US-20100305056-A1	methylenecyclopropyl	42375	C=C1CC1	TEXT	2	2	0	0	1	1	2039	442	54.09040069580078	1	1.2730799913406372	0	0	1	0	0	0	1	0	0	1	1	1
US-20100305056-A1	methylenecyclopropyl	67399	C=C1[CH]C1	TEXT	2	2	0	0	1	1	989	442	53.08250045776367	1	1.0651999711990356	0	0	1	0	1	0	1	0	0	1	1	1
US-20100305056-A1	methyl pyrazole	47212	CC1=NNC=C1	TEXT	4	2	0	0	1	1	5294	55	82.10379791259766	0	0.40880000591278076	1	1	1	0	0	0	1	0	0	1	1	1
