Property,CMP_ATOMCOUNT_Br,CMP_ATOMCOUNT_C,CMP_ATOMCOUNT_C_sp,CMP_ATOMCOUNT_C_sp2,CMP_ATOMCOUNT_C_sp3,CMP_ATOMCOUNT_Cl,CMP_ATOMCOUNT_F,CMP_ATOMCOUNT_H,CMP_ATOMCOUNT_H_ACCEPTORS,CMP_ATOMCOUNT_H_DONORS,CMP_ATOMCOUNT_HALOGENS,CMP_ATOMCOUNT_HEAVY,CMP_ATOMCOUNT_HYDROGENS,CMP_ATOMCOUNT_I,CMP_ATOMCOUNT_METALATOMS,CMP_ATOMCOUNT_N,CMP_ATOMCOUNT_NEGATIVE,CMP_ATOMCOUNT_O,CMP_ATOMCOUNT_P,CMP_ATOMCOUNT_POSITIVE,CMP_ATOMCOUNT_S,CMP_ATOMCOUNT_TOTAL,CMP_ATOMS_C_FRAC,CMP_ATOMS_C_sp_FRAC,CMP_ATOMS_C_sp2_FRAC,CMP_ATOMS_C_sp3_FRAC,CMP_ATOMS_H_ACCEPTOR_FRAC,CMP_ATOMS_H_DONOR_FRAC,CMP_ATOMS_H_FRAC,CMP_ATOMS_HALOGEN_FRAC,CMP_ATOMS_HETEROATOM_FRAC,CMP_ATOMS_N_FRAC,CMP_ATOMS_NEGATIVE_FRAC,CMP_ATOMS_O_FRAC,CMP_ATOMS_OTHER_FRAC,CMP_ATOMS_P_FRAC,CMP_ATOMS_POSITIVE_FRAC,CMP_ATOMS_S_FRAC,CMP_ATOMS_STEROATOM_FRAC,CMP_BONDS_ALIPHATIC_FRAC,CMP_BONDS_AROMATIC,CMP_BONDS_AROMATIC_FRAC,CMP_BONDS_BRIDGE,CMP_BONDS_BRIDGE_FRAC,CMP_BONDS_DOUBLE_FRAC,CMP_BONDS_DOUBLEBONDS,CMP_BONDS_EXPLICIT,CMP_BONDS_HEAVYATOMS,CMP_BONDS_HYDROGENS,CMP_BONDS_PIBONDS,CMP_BONDS_RING,CMP_BONDS_RING_FRAC,CMP_BONDS_ROTATABLE,CMP_BONDS_ROTATABLE_FRAC,CMP_BONDS_SINGLE_FRAC,CMP_BONDS_SINGLEBONDS,CMP_BONDS_STEREO_FRAC,CMP_BONDS_STEREOATOMS,CMP_BONDS_STEREOBONDS,CMP_BONDS_TOTAL,CMP_BONDS_TRIPLE_FRAC,CMP_BONDS_TRIPLEBONDS,CMP_CLASS_ACID,CMP_CLASS_BASE,CMP_CLASS_BIOLOGICAL,CMP_CLASS_INORGANIC,CMP_CLASS_LIPINSKI_PASS,CMP_CLASS_NEUTRAL,CMP_CLASS_ORGANIC,CMP_CLASS_PEPTIDE,CMP_CLASS_SMALL_MOLECULE,CMP_CLASS_SPECIES_UNDEFINED,CMP_CLASS_ZWITTERION,CMP_FORMALCHARGE,CMP_FULL_MWT,CMP_INORGANIC_FLAG,CMP_LOGD,CMP_LOGP,CMP_MOLECULAR_POLAR_SURFACEAREA,CMP_MOLECULAR_POLARSASA,CMP_MOLECULAR_SASA,CMP_MOLECULAR_SURFACEAREA,CMP_MOLECULAR_WEIGHT,CMP_NUM_ALIPHATICDOUBLEBONDS,CMP_NUM_ALIPHATICRINGS,CMP_NUM_ALIPHATICSINGLEBONDS,CMP_NUM_AROMATICRINGS,CMP_NUM_CHAINASSEMBLIES,CMP_NUM_CHAINS,CMP_NUM_HYDROGENBONS,CMP_NUM_RINGASSEMBLIES,CMP_NUM_RINGS,CMP_NUM_RO5_VIOLATIONS,CMP_NUM_TERMINALROTOMERS,CMP_RIGIDITY_INDEX,CMP_RO3_PASS,CMP_SOLUBILITY
CMP_ATOMCOUNT_Br,1,-4.8912947724e-002,-3.2673935633e-003,-2.5597999582e-003,-6.7633642588e-002,-3.0312323256e-002,-3.025449515e-002,-6.4897645823e-002,-4.5985975854e-002,-3.4689357966e-002,0.136775597494155,-3.878609754e-002,-6.4897645823e-002,-8.0952568975e-003,-4.531114217e-003,-3.611640794e-002,6.8357237051e-002,-4.3537853582e-002,-6.6761818578e-003,6.8230717856e-002,-1.4124321568e-002,-5.3018571216e-002,5.9762749589e-002,-9.2105633455e-003,8.4238872886e-002,-8.3423513184e-002,-1.3200957282e-002,-4.7902789064e-003,-0.11373446002868,0.189758299188341,-1.3192488247e-002,-6.5834874844e-004,4.462195976e-002,-1.699562045e-002,-8.6625809513e-003,-8.3444117193e-003,4.8943252799e-002,3.7349255881e-003,-5.0731006924e-002,-4.7601054994e-002,1.3697378563e-002,5.9780932167e-002,3.0017531426e-003,2.7409482311e-004,-2.8411246967e-002,-1.7028798164e-002,-4.1019524102e-002,1.27235911e-002,-1.27235911e-002,0,-2.6261078178e-002,2.1788330827e-002,-4.1700262854e-002,-4.2645906826e-002,-5.795959968e-002,-4.5166783965e-002,1.7784327458e-002,-4.5693068104e-002,6.0565354286e-003,-4.0806953684e-002,-1.015212607e-002,-7.9582847501e-003,-4.3624923822e-003,-1.2970813699e-002,-4.3391681897e-002,-7.806528219e-003,-2.994947767e-002,-3.0498181268e-003,4.363974143e-002,-3.1476896514e-002,4.3391681897e-002,1.2796806302e-002,-7.8347937258e-003,-3.0773160609e-003,2.1102946153e-002,-6.6049269709e-003,4.7457795523e-002,4.3062405256e-002,-3.172968868e-002,-5.0302395416e-002,-2.7461969469e-002,-1.9188452725e-002,2.11029744e-002,-4.0248359405e-002,-4.4262880118e-002,-4.9782878259e-002,1.1932016183e-002,3.3603913955e-002,-2.3316357068e-002,0,-2.5284076427e-002,-2.5693526723e-002,1.4170805485e-002,-3.7429529564e-002,4.4423755457e-002,-9.9879868041e-003,-4.2426196141e-002
CMP_ATOMCOUNT_C,-4.8912947724e-002,1,-1.1731308448e-002,0.732522645545145,0.830759325260482,-4.5838641336e-002,3.414546896e-002,0.937192776544946,0.731083474036255,0.75160862110377,1.6640790605e-003,0.966611111296502,0.937192776544946,-1.8194755234e-002,1.7416294179e-002,0.730404552613267,2.5423538716e-002,0.7233701594205,0.209316800124576,2.099174551e-002,0.114322093479139,0.97160363224562,-8.5722381558e-002,-6.1578820973e-002,-0.188857785274546,0.196821903484209,-0.177034022432588,3.7453092575e-002,0.215773301486765,-0.136739879890622,-0.11259601552408,-7.9618740386e-002,-7.1066620357e-002,-1.808827073e-002,0.187873012101404,-4.0671536027e-002,-7.5886300622e-002,-0.152640792959922,0.251189861172338,3.812680177e-003,0.397690050994574,-0.197232193230029,0.122042145908292,3.0839297517e-002,7.9866558646e-002,0.816034046503944,0.968414394808179,-3.7936948818e-002,3.7936948818e-002,0,0.622301239274542,-0.217855198689415,0.861258946799981,0.281732362127748,0.202127264378394,0.956707743325213,-8.0586223094e-002,0.71114742629677,0.190773410235496,0.968178967683638,-6.2597371999e-002,-2.0624689314e-002,7.9555324933e-002,0.150817860012504,0.446170565181729,-6.0679475397e-004,-0.491779311409337,1.9893171229e-002,-0.418364290903327,0.342694555883621,-0.446170565181729,-0.192276766831169,0.212117158533259,-1.7780569711e-002,0.944067920116864,-2.9255750533e-002,-0.221138582089098,-0.120478616307286,0.756798736602516,5.2605784577e-002,0.967933214109868,0.956145458749445,0.944067925298802,0.758952628927429,0.328930906947316,0.896702577407393,0.382030243443979,0.440113192860091,0.849506275260298,0,0.548466829726109,0.54775717635594,0.642065628476704,0.311306619164331,-0.258413300309297,-0.194959005996776,-0.73565456555131
CMP_ATOMCOUNT_C_sp,-3.2673935633e-003,-1.1731308448e-002,1,-2.5398285411e-002,-4.0720473222e-002,-1.1762427906e-002,2.928403076e-003,-4.7616338161e-002,-1.8093936137e-002,-4.5709661003e-002,-3.8655159736e-003,-2.0308777132e-002,-4.7616338161e-002,-1.1979154394e-002,-4.6308687703e-003,9.5254503233e-003,-7.3476233993e-003,-5.7592710058e-002,-1.3220389035e-002,-6.7732449542e-003,-1.5208786356e-002,-3.4771613897e-002,0.119599782655617,0.88952194867742,-3.8646435358e-002,-4.9253164482e-002,1.6822693986e-002,-6.0358809754e-002,-8.1657636771e-002,-2.0032294899e-003,-1.2592564555e-002,6.7382116928e-002,-8.9369454846e-003,-7.4291691492e-002,-1.3467919031e-002,-1.8303100992e-002,-8.9583025908e-003,-5.2575969968e-003,-2.430304812e-002,-3.2604915741e-002,2.6069791856e-003,6.4868477005e-003,-9.9838874818e-003,-6.7682049099e-003,-8.0194719391e-002,-3.7508824303e-002,-2.1074117311e-002,6.6452982524e-003,-6.6452982525e-003,0,-2.3285796052e-002,-2.3774689931e-002,-2.5871638409e-002,-2.0556884836e-002,-3.5928014309e-002,-3.1615134883e-002,-1.0137105609e-002,-3.1668346671e-002,-1.2551311167e-002,-2.1158254983e-002,0.836229534134854,0.941138607930394,-8.5617284541e-003,-1.1080939569e-002,-4.911251784e-002,-2.5953139173e-003,2.3854521476e-002,1.0315555169e-002,4.7050941905e-002,-3.7585848889e-002,4.911251784e-002,5.6034079256e-003,-1.1761455772e-002,2.2693443406e-003,-2.6382076455e-002,-6.240106795e-003,4.4005638483e-002,3.7317833967e-002,-2.2039291956e-002,-2.1385912752e-003,-2.2184895595e-002,-2.1468237517e-002,-2.638204495e-002,-5.8417250959e-002,-2.8311430968e-002,-3.3026517536e-002,1.0570337814e-003,9.28675029e-003,-2.7206444184e-002,0,-1.4520612133e-003,-2.1418304998e-002,-3.2392372739e-002,-3.3083587284e-002,2.3004551805e-002,-1.3257218942e-003,-2.3064297702e-002
CMP_ATOMCOUNT_C_sp2,-2.5597999582e-003,0.732522645545145,-2.5398285411e-002,1,0.230850130386385,4.1625123024e-002,9.2988680144e-002,0.474654774266172,0.452490985287507,0.449131889652053,9.9538047256e-002,0.687356913394111,0.474654774266172,-2.2239780695e-002,-1.1715232477e-002,0.511579573660537,3.247996427e-002,0.424715821404769,0.142118423866285,2.9713929787e-002,0.118745391466342,0.592302187896158,0.42679329132278,-7.670500183e-002,0.451974180134573,-0.442723667820173,-0.133623294451137,-2.2593933628e-002,-0.27717368143173,-2.4430102784e-002,-4.9926679648e-002,2.2793636953e-002,-5.1662168761e-002,-5.4165374293e-002,0.110795902202731,-8.6049785651e-002,-5.3511405362e-002,-6.6924205993e-002,-0.106169381383266,-0.312093379650849,0.833633874859543,0.367275818126664,-2.6003657937e-003,-8.9697859142e-002,-3.3099951006e-003,0.940545827492408,0.701809867889466,0.162251918921322,-0.162251918921234,0,0.681003640290283,0.115144986453526,0.499600665288382,-3.217020038e-003,-0.401549958565114,0.6004938585682,-5.3338666582e-002,0.282053387119381,0.156789305388995,0.707731093343501,-6.9494059761e-002,-2.3307159139e-002,5.824517104e-002,9.1980716489e-002,0.247591140993547,-2.7514361262e-002,-0.38877206669605,7.8076099174e-003,-0.221959663180158,0.181867267548955,-0.247591140993547,-0.117962480531011,0.127529584377911,-1.1814005419e-002,0.661176224933694,-4.9334092412e-002,5.414551448e-002,0.117073334667458,0.477645011348068,-1.2779299812e-002,0.65937045064063,0.633409182222591,0.661176212975287,0.487015091859102,1.7701845926e-003,0.422614816202197,0.803582270853925,0.344915827378324,0.522583475154232,0,0.653082955605559,0.610555286427807,0.467887064625012,0.180122321169795,0.214346158463503,-0.191599210705836,-0.686580468847281
CMP_ATOMCOUNT_C_sp3,-6.7633642588e-002,0.830759325260482,-4.0720473222e-002,0.230850130386385,1,-9.8946625122e-002,-2.7296052622e-002,0.953237556604875,0.675599178766274,0.70889634542123,-7.873935028e-002,0.820333340029504,0.953237556604875,-7.2925155375e-003,3.4652926954e-002,0.625139076151113,1.0119745032e-002,0.689029794188614,0.183528647316947,6.0223497653e-003,6.7009295799e-002,0.905739371015807,-0.476344788278214,-6.5086394632e-002,-0.637159634263473,0.644911014172922,-0.14451269135678,7.4650251461e-002,0.538232105920223,-0.175286743182308,-0.11950263742649,-0.1353592749164,-5.8925651032e-002,2.1717764821e-002,0.178488114516384,1.2994393271e-002,-6.4299212089e-002,-0.163151640616494,0.446606035190731,0.261753696773546,-0.11283156575979,-0.581918091498997,0.176902326561508,0.117597690060417,0.120365544904807,0.399238392196846,0.811140252972725,-0.186976561952961,0.186976561953007,0,0.333821903141992,-0.404136306701993,0.82342456513553,0.40595870236616,0.618213852313207,0.877630224449445,-7.1096770484e-002,0.786918564700697,0.145029044465997,0.805972059091503,-7.0047689267e-002,-5.2500687017e-002,6.6457594716e-002,0.140815289415266,0.437333552743956,2.1719252989e-002,-0.386057186447659,2.157925324e-002,-0.418453556819042,0.342681254606824,-0.437333552743956,-0.178574430681249,0.199377820230732,-1.5852206651e-002,0.809783637721034,-1.2222985114e-003,-0.3620737051399,-0.269376894895789,0.691966379062368,8.5677290617e-002,0.84516134414192,0.849492620695312,0.80978365348087,0.689017177220246,0.469684780937629,0.937245883927293,-0.110589601279619,0.346588463540907,0.787926757473858,0,0.250178145954899,0.284787872223295,0.536506480500727,0.299068594269934,-0.545164834334602,-0.12195960704134,-0.489116176433706
CMP_ATOMCOUNT_Cl,-3.0312323256e-002,-4.5838641336e-002,-1.1762427906e-002,4.1625123024e-002,-9.8946625122e-002,1,-2.831882458e-002,-9.7284503787e-002,-8.7408535467e-002,-8.5851933552e-002,0.384380501295511,-3.1602993529e-002,-9.7284503787e-002,-1.7580249699e-002,-1.2093334383e-002,-3.2138824005e-002,-6.1205824828e-003,-0.105380687727872,-2.7334173228e-002,-6.4470718085e-003,-1.6984201799e-002,-6.603082009e-002,0.109091037477191,-1.611330157e-002,0.1222889582464,-0.120572035518768,-9.0938376937e-002,-9.1161174145e-002,-0.197779446229707,0.427659620917904,-7.7554225278e-002,2.5205653513e-002,-7.517377817e-003,-0.118541288938178,-3.1574087777e-002,-3.7561213416e-002,-8.963477467e-003,-5.0457366052e-003,-9.0234803946e-002,-4.7296554685e-002,8.0405623252e-002,9.4965918366e-002,-1.5671733283e-002,-1.6642249175e-002,-9.608563598e-002,7.8906874113e-003,-3.1873070594e-002,3.9701989025e-002,-3.9701989025e-002,0,2.5032959439e-002,6.1590548159e-002,-7.0022047272e-002,-9.3288553391e-002,-7.4482567533e-002,-3.9914367586e-002,-3.6203887659e-002,-8.7149528737e-002,-3.7329007477e-002,-3.0711773014e-002,-1.5355911267e-002,-8.1176671272e-003,-1.8770355304e-002,-1.2178610268e-002,-7.3950478176e-002,-1.9805421128e-002,-9.9701281279e-002,-1.2744424026e-002,7.6813416179e-002,-6.4388287571e-002,7.3950478176e-002,3.0618678336e-002,-2.1438622245e-002,-8.4123463949e-004,6.7073682068e-003,-3.7702077092e-003,0.16718067021316,0.175606947154721,-8.7921689573e-002,-0.151096667930403,-2.3537349633e-002,-1.6317917483e-002,6.7073893249e-003,-7.9682810254e-002,-4.3125539509e-002,-5.9079873804e-002,7.1010256564e-002,0.125674220004219,-1.0608211881e-003,0,8.0085368919e-002,1.9984118813e-002,4.4344664161e-002,-7.3008280253e-002,7.1971030395e-002,-3.57949394e-002,-0.115050679046222
CMP_ATOMCOUNT_F,-3.025449515e-002,3.414546896e-002,2.928403076e-003,9.2988680144e-002,-2.7296052622e-002,-2.831882458e-002,1,-4.529643451e-002,-4.9117085613e-002,-5.5695054836e-002,0.890677563649945,8.1687477348e-002,-4.529643451e-002,-1.8300752715e-002,-6.8722891144e-003,-5.1616942232e-004,0.156317045928794,-5.5448872363e-002,0.129053186985407,0.155651377277788,-7.7292332035e-003,1.8098983352e-002,4.6566533525e-002,-9.2306201999e-004,4.291451466e-002,-4.2829988434e-002,-8.3391126284e-002,-7.7898617448e-002,-0.253024822607987,0.658089350218967,-6.7407190042e-002,-7.763818321e-003,-8.3870066801e-003,-7.8131404726e-002,0.107289834744306,7.1902472228e-005,-1.241632173e-002,-8.0730102402e-003,-4.121946084e-002,-6.2805808786e-002,0.119914251082879,9.0733995015e-004,-3.2155748308e-002,-3.6745040946e-002,-7.7514592324e-002,6.9488305933e-002,7.8441463615e-002,3.1062608534e-002,-3.1062608534e-002,0,6.9805988868e-002,-5.880949553e-002,3.0449717322e-003,-3.3542800922e-002,2.6184470393e-002,7.79380219e-002,-4.6023767247e-002,-4.5902256711e-002,-2.1764070425e-002,7.9680241116e-002,-4.097423644e-003,5.6496346517e-003,-9.3465700265e-003,-1.5742180567e-002,-4.050681553e-002,-9.6537112916e-004,-0.103843825340491,3.2623215315e-003,3.8365375212e-002,-4.615013685e-002,4.050681553e-002,1.6400663513e-002,-2.1226124727e-002,-8.3345354276e-003,9.4703647938e-002,-1.1670500339e-002,0.177186341369015,0.187290328964962,-4.9502678867e-002,-9.9536321059e-002,5.6379044444e-002,4.3522392336e-002,9.4703633642e-002,-3.6537322337e-002,-2.5163286356e-002,5.4531140144e-002,0.105563599975218,0.13590806424753,0.169488865703905,0,0.132746424660583,6.0275009247e-002,7.274820862e-002,0.275206299023199,-4.7485494793e-002,-4.3209905184e-002,-0.287774290490003
CMP_ATOMCOUNT_H,-6.4897645823e-002,0.937192776544946,-4.7616338161e-002,0.474654774266172,0.953237556604875,-9.7284503787e-002,-4.529643451e-002,1,0.730041633210896,0.801101814532377,-9.4421166716e-002,0.919273036185181,1,-1.2926653289e-002,1.3920692733e-002,0.735085659995598,1.0255182601e-002,0.728476489832297,0.188533571074365,7.664225858e-003,8.8564923019e-002,0.979911404834768,-0.353949648403194,-7.9538746605e-002,-0.436875951278526,0.446257260358826,-0.149969669829647,0.117734787156739,0.438470819653221,-0.211779621618286,-9.3249205774e-002,-8.0239721544e-002,-6.6564512775e-002,4.5083661762e-003,0.172217665375059,2.5484978124e-003,-7.1371353227e-002,-0.156668808007253,0.342971812302352,7.9655227164e-002,0.11087589259181,-0.413030868590573,0.125120923424532,4.939051344e-002,0.131856942032266,0.617020611989302,0.906310888544453,-8.5344271912e-002,8.5344271912e-002,0,0.410115017832037,-0.387945574501477,0.911055784925635,0.426260228116911,0.430703897275763,0.936456279874863,-7.6567277796e-002,0.76827235346173,0.156825873726901,0.904621013141898,-8.3233450446e-002,-5.9618868208e-002,7.1843043306e-002,0.16206194001214,0.491915636706757,8.1184391723e-003,-0.432485055223356,1.7424973218e-002,-0.464556790000392,0.388501968874102,-0.491915636706757,-0.197593220851828,0.228018383661366,-1.0300607324e-002,0.901382691114627,-1.3098863462e-002,-0.352645086752652,-0.255648723036474,0.770717943964217,0.115628474752278,0.945193950980074,0.940006447321392,0.901382699325543,0.768545068339249,0.3264653345579,0.944880465993679,0.103915642562696,0.340553409695477,0.845486169944571,0,0.353368537464855,0.33499373434001,0.601055053566778,0.321193804525089,-0.471690341247975,-0.149493679861558,-0.615531548421944
CMP_ATOMCOUNT_H_ACCEPTORS,-4.5985975854e-002,0.731083474036255,-1.8093936137e-002,0.452490985287507,0.675599178766274,-8.7408535467e-002,-4.9117085613e-002,0.730041633210896,1,0.819806370973969,-9.0927849928e-002,0.859940443784496,0.730041633210896,-1.8786947402e-002,0.133404677296077,0.775992509354244,0.112349012787013,0.9302874010436,0.535801754785836,9.1528000578e-002,0.328541947713001,0.811050915380925,-0.334405724693817,-3.4433698268e-002,-0.177307476106459,0.181337346901356,0.377466811551906,0.316362657578638,8.3927164888e-003,-0.138860382281857,0.382816710239084,0.147415574864477,2.2697479472e-002,0.340752430253508,0.518066140548305,0.167856098760797,2.1853712173e-002,1.8427945088e-002,0.305595917465221,-1.4872470237e-002,0.164398831436536,-0.26388867634064,6.4294531101e-002,-1.5252449757e-002,0.245842696718071,0.674208340247889,0.854491527372625,-2.844080985e-003,2.844080985e-003,0,0.474322760307138,-0.31050891386336,0.779766145612303,0.268370257376677,0.228351869551054,0.858612572894749,-1.0409194962e-002,0.767677928514048,0.327481769368524,0.855300407587345,-3.7441991454e-002,-1.8922314955e-002,0.103923969465641,9.2935837449e-002,0.364045007251658,4.8541431469e-002,-0.265269457976015,6.3851624835e-003,-0.359762757734364,0.302193712229088,-0.364045007251658,-0.164277292010988,0.203586134187225,-8.1748599501e-002,0.872381042762467,-5.4487864535e-003,-0.607187103010534,-0.528374291984127,0.943703107834767,0.453459306213845,0.834837316689047,0.860248940333039,0.872381031106419,0.813446200371922,0.376822175139205,0.847568487049449,0.170862169009311,0.561869550869523,0.855444414833921,0,0.459063918978391,0.425264877299536,0.458501292710088,0.327357061440497,-0.294217505188174,-0.120250482305989,-0.249237177244743
CMP_ATOMCOUNT_H_DONORS,-3.4689357966e-002,0.75160862110377,-4.5709661003e-002,0.449131889652053,0.70889634542123,-8.5851933552e-002,-5.5695054836e-002,0.801101814532377,0.819806370973969,1,-9.3505954837e-002,0.838283958469094,0.801101814532377,-1.0190173459e-002,-8.4031404671e-004,0.82635921133853,-1.9415931282e-002,0.799342182219119,0.266768846464714,-2.7306024114e-002,0.154161187173852,0.83661387218885,-0.346783321977908,-5.2881597802e-002,-0.181674325132166,0.187420457641678,0.184803204032635,0.556131813717432,0.100073894014545,-0.122776383316716,0.27575324957193,0.15058290450198,-4.0076803629e-002,0.228970409227109,0.230946063126431,9.9755748131e-002,-4.6082906166e-002,-5.1168170023e-002,0.34386310722291,-8.8202706637e-002,9.2222447291e-002,-0.279220293043327,5.8426179177e-002,-1.5251493976e-002,0.260927746816115,0.634770294634463,0.814692796967047,-5.3180581347e-004,5.3180581347e-004,0,0.262226703388791,-0.39758013495413,0.841723571396275,0.317883525582629,0.242839580404465,0.822129157763586,-5.3274502218e-002,0.775397611288997,0.156172152112354,0.815927077752824,-5.8937658396e-002,-5.3964795523e-002,8.8983432488e-002,0.146858795155003,0.531574344666675,-9.6222166491e-004,-0.247392291750967,-4.7324340394e-003,-0.49835571750429,0.45893157380533,-0.531574344666675,-0.19803787194548,0.273164797188943,-2.9054087073e-002,0.834932064487868,-3.2012169137e-003,-0.650035133620733,-0.583051892969669,0.912831782053164,0.522882825875357,0.841217981064516,0.853758676985295,0.834932051058961,0.828110411161727,0.147973163844121,0.827788130089495,9.8273104397e-002,0.290475786404969,0.833202977092772,0,0.228979674587401,0.190630684881614,0.473798154390715,0.423322680981283,-0.353875331354678,-6.0975103447e-002,-0.353158455836232
